"4","A1230630204140","1","A005","A011","","1_2_3","1","1870","0719","1990","0869","1500","0669","2210","0919","11","0027171","311203","0","202","Kx","100","31001","1","3",""
"4","A1230630204140","1","A005","A012","","1_2_3_4_5_6_7_8","1","2040","0719","2160","0869","1500","0669","2210","0919","11","0027171","311203","0","202","Kx","100","31001","1","2",""
"4","A1230630204141","1","A005","A010","","1_2_3","1","1700","0719","1820","0869","1500","0669","2210","0919","11","0027171","311203","0","202","Kx","100","31001","1","1",""
"4","A1230630204141","1","A005","A011","","1_2_3","1","1870","0719","1990","0869","1500","0669","2210","0919","11","0027171","311203","0","202","Kx","100","31001","1","2",""
"4","A1230630204141","1","A005","A012","","1_2_3_4_5_6_7_8","1","2040","0719","2160","0869","1500","0669","2210","0919","11","0027171","311203","0","202","Kx","100","31001","1","2",""
"4","A1230630204142","1","A005","A010","","1_2_3","1","1700","0719","1820","0869","1500","0669","2210","0919","11","0027171","311203","0","202","Kx","100","31001","1","2",""
"4","A1230630204142","1","A005","A011","","1_2_3","1","1870","0719","1990","0869","1500","0669","2210","0919","11","0027171","311203","0","202","Kx","100","31001","1","3",""
"4","A1230630204142","1","A005","A012","","1_2_3_4_5_6_7_8","1","2040","0719","2160","0869","1500","0669","2210","0919","11","0027171","311203","0","202","Kx","100","31001","1","7",""
"4","A1230630204143","1","A005","A010","","1_2_3","1","1700","0719","1820","0869","1500","0669","2210","0919","11","0027171","311203","0","202","Kx","100","31001","1","1",""
"4","A1230630204143","1","A005","A011","","1_2_3","1","1870","0719","1990","0869","1500","0669","2210","0919","11","0027171","311203","0","202","Kx","100","31001","1","2",""
"4","A1230630204143","1","A005","A012","","1_2_3_4_5_6_7_8","1","2040","0719","2160","0869","1500","0669","2210","0919","11","0027171","311203","0","202","Kx","100","31001","1","2",""
"4","A1230630204144","1","A005","A010","","1_2_3","1","1700","0719","1820","0869","1500","0669","2210","0919","11","0027171","311203","0","202","Kx","100","31001","1","3",""
"4","A1230630204144","1","A005","A011","","1_2_3","1","1870","0719","1990","0869","1500","0669","2210","0919","11","0027171","311203","0","202","Kx","100","31001","1","3",""
"4","A1230630204144","1","A005","A012","","1_2_3_4_5_6_7_8","1","2040","0719","2160","0869","1500","0669","2210","0919","11","0027171","311203","0","202","Kx","100","31001","1","1",""
